Business Name,Contact Name,Phone,Email,Website,City,State,Zip,Lead Score,Flags,Notes,Source URL
Hill Country Roofers,,(830) 659-3296,,https://www.hillcountryroofers.com,San Antonio,TX,78230,60,No tracking pixels; Low reviews; Low rating; Poor SEO on-page; Not mobile-friendly,Rating 4.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust.,https://maps.google.com/?q=Hill+Country+Roofers+San+Antonio+TX
Texas Breeze AC,,(726) 433-4652,,,San Antonio,TX,78201,60,No ads detected; Outdated/Missing web presence; Low reviews; No website,Texas Breeze AC has no website — losing leads daily to competitors. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Texas+Breeze+AC+San+Antonio+TX
Garza & Associates,,(830) 814-2983,,,San Antonio,TX,78202,60,No ads detected; High competition niche; Low reviews; No website,Garza & Associates has no website — losing leads daily to competitors. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Garza+&+Associates+San+Antonio+TX
Bexar Motors,,(210) 790-1878,,https://www.bexarmotors.com,San Antonio,TX,78209,60,No tracking pixels; Low reviews; Low rating; Poor SEO on-page; Not mobile-friendly,Rating 3.7 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust.,https://maps.google.com/?q=Bexar+Motors+San+Antonio+TX
Mission Auto Repair,,(210) 369-6039,,https://www.missionautorepair.com,San Antonio,TX,78218,60,No tracking pixels; Slow website; Low reviews; Low rating; Poor SEO on-page,Rating 3.2 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust.,https://maps.google.com/?q=Mission+Auto+Repair+San+Antonio+TX
Fiesta HVAC Services,,(726) 838-7512,,https://www.fiestahvacservices.com,San Antonio,TX,78204,60,No tracking pixels; Slow website; Low reviews; Low rating; Poor SEO on-page,Rating 2.8 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust.,https://maps.google.com/?q=Fiesta+HVAC+Services+San+Antonio+TX
Bexar Roof Pros #2,,(726) 548-5552,,https://www.bexarroofpros2.com,San Antonio,TX,78209,55,Low reviews; Low rating; Outdated/Missing web presence; No ads detected; No website,Bexar Roof Pros #2 has no website — losing leads daily to competitors. | Rating 4.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Bexar+Roof+Pros+#2+San+Antonio+TX
Cool Comfort HVAC,,(726) 280-5803,,https://www.coolcomforthvac.com,San Antonio,TX,78228,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.5 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Cool+Comfort+HVAC+San+Antonio+TX
Cool Comfort HVAC,,(830) 573-3664,,https://www.coolcomforthvac.com,San Antonio,TX,78228,55,No ads detected; High competition niche; Low reviews,Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Cool+Comfort+HVAC+San+Antonio+TX
Riverwalk Heating & Cooling,,(210) 664-1053,,,San Antonio,TX,78217,55,No tracking pixels; Poor SEO on-page; Not mobile-friendly; No website,Riverwalk Heating & Cooling has no website — losing leads daily to competitors.,https://maps.google.com/?q=Riverwalk+Heating+&+Cooling+San+Antonio+TX
Alamo Plumbers,,(830) 582-8177,,https://www.alamoplumbers.com,San Antonio,TX,78244,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 4.0 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Alamo+Plumbers+San+Antonio+TX
Garza & Associates,,(210) 538-2160,,https://www.garzaandassociates.com,San Antonio,TX,78244,55,No ads detected; High competition niche; Low rating; No website,Garza & Associates has no website — losing leads daily to competitors. | Rating 4.0 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Garza+&+Associates+San+Antonio+TX
SA Power Solutions,,(830) 641-6804,,https://www.sapowersolutions.com,San Antonio,TX,78230,55,Low rating; No ads detected; Weak SEO signals; Low reviews,Rating 4.2 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Power+Solutions+San+Antonio+TX
Mission HVAC #19,,(210) 834-2343,,https://www.missionhvac19.com,San Antonio,TX,78230,55,Low reviews; Low rating; Outdated/Missing web presence; No ads detected; No website,Mission HVAC #19 has no website — losing leads daily to competitors. | Rating 4.0 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Mission+HVAC+#19+San+Antonio+TX
Alamo Aesthetics,,(726) 879-2697,,https://www.alamoaesthetics.com,San Antonio,TX,78209,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.9 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Alamo+Aesthetics+San+Antonio+TX
Luminous Skin SA #24,,(210) 277-3442,,https://www.luminousskinsa24.com,San Antonio,TX,78250,55,Low rating; No ads detected; Weak SEO signals; Low reviews,Rating 4.3 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Luminous+Skin+SA+#24+San+Antonio+TX
Riverwalk Auto #25,,(210) 882-2684,,https://www.riverwalkauto25.com,San Antonio,TX,78228,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Riverwalk+Auto+#25+San+Antonio+TX
Mission Auto Repair #26,,(830) 540-7745,,https://www.missionautorepair26.com,San Antonio,TX,78216,55,No ads detected; High competition niche; Low reviews,Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Mission+Auto+Repair+#26+San+Antonio+TX
Alamo Construction,,(726) 382-5349,,https://www.alamoconstruction.com,San Antonio,TX,78202,55,Low rating; No ads detected; Weak SEO signals,Rating 4.7 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Alamo+Construction+San+Antonio+TX
San Antonio Pipe Pros,,(210) 511-5700,,https://www.sanantoniopipepros.com,San Antonio,TX,78213,55,Low rating; No ads detected; Weak SEO signals; Low reviews,Rating 4.7 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=San+Antonio+Pipe+Pros+San+Antonio+TX
Bexar Motors #33,,(210) 686-2193,,https://www.bexarmotors33.com,San Antonio,TX,78232,55,Low rating; No ads detected; Weak SEO signals; Low reviews,Rating 4.7 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Bexar+Motors+#33+San+Antonio+TX
Bexar Remodeling Co,,(726) 505-7389,,https://www.bexarremodelingco.com,San Antonio,TX,78230,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 2.9 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Bexar+Remodeling+Co+San+Antonio+TX
Riverwalk Auto #40,,(210) 466-7211,,https://www.riverwalkauto40.com,San Antonio,TX,78223,55,No ads detected; High competition niche; Low rating; No website,Riverwalk Auto #40 has no website — losing leads daily to competitors. | Rating 3.6 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Riverwalk+Auto+#40+San+Antonio+TX
SA Build Group,,(726) 380-9548,,https://www.sabuildgroup.com,San Antonio,TX,78217,55,No ads detected; High competition niche; Low rating; No website,SA Build Group has no website — losing leads daily to competitors. | Rating 3.5 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Build+Group+San+Antonio+TX
Luminous Skin SA,,(726) 802-8025,,https://www.luminousskinsa.com,San Antonio,TX,78218,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.0 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Luminous+Skin+SA+San+Antonio+TX
Mission Auto Repair #54,,(210) 445-3847,,,San Antonio,TX,78250,55,No tracking pixels; Poor SEO on-page; Slow website; No website,Mission Auto Repair #54 has no website — losing leads daily to competitors.,https://maps.google.com/?q=Mission+Auto+Repair+#54+San+Antonio+TX
Fiesta Med Spa,,(830) 456-1423,,https://www.fiestamedspa.com,San Antonio,TX,78204,55,No ads detected; High competition niche; Low rating; No website,Fiesta Med Spa has no website — losing leads daily to competitors. | Rating 3.3 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Fiesta+Med+Spa+San+Antonio+TX
Riverwalk Auto,,(830) 652-5557,,https://www.riverwalkauto.com,San Antonio,TX,78212,55,Low rating; No ads detected; Weak SEO signals,Rating 4.8 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Riverwalk+Auto+San+Antonio+TX
Bexar Electric,,(726) 495-7561,,https://www.bexarelectric.com,San Antonio,TX,78250,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.6 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Bexar+Electric+San+Antonio+TX
El Rancho Grande #62,,(830) 922-5479,,https://www.elranchogrande62.com,San Antonio,TX,78230,55,No ads detected; High competition niche; Low reviews; No website,El Rancho Grande #62 has no website — losing leads daily to competitors. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=El+Rancho+Grande+#62+San+Antonio+TX
Bexar Outdoor Design,,(726) 432-2480,,https://www.bexaroutdoordesign.com,San Antonio,TX,78230,55,No ads detected; High competition niche; Low rating; No website,Bexar Outdoor Design has no website — losing leads daily to competitors. | Rating 4.1 below 4.2 — reputation management needed. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Bexar+Outdoor+Design+San+Antonio+TX
SA Roofing Solutions,,(830) 560-4588,,https://www.saroofingsolutions.com,San Antonio,TX,78213,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 3.3 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Roofing+Solutions+San+Antonio+TX
SA Family Law,,(726) 749-3024,,https://www.safamilylaw.com,San Antonio,TX,78232,55,No ads detected; Low rating; High competition niche; Low reviews,Rating 4.1 below 4.2 — reputation management needed. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+Family+Law+San+Antonio+TX
SA Power Solutions #7,,(210) 721-9085,,https://www.sapowersolutions7.com,San Antonio,TX,78204,50,Low rating; No tracking pixels; Poor SEO on-page; Slow website,Rating 3.3 below 4.2 — reputation management needed.,https://maps.google.com/?q=SA+Power+Solutions+#7+San+Antonio+TX
SA Wiring Pros #43,,(830) 226-6111,,https://www.sawiringpros43.com,San Antonio,TX,78229,50,Low rating; No tracking pixels; Poor SEO on-page; Slow website,Rating 3.5 below 4.2 — reputation management needed.,https://maps.google.com/?q=SA+Wiring+Pros+#43+San+Antonio+TX
Alamo Grill #47,,(726) 769-1166,,https://www.alamogrill47.com,San Antonio,TX,78244,50,No tracking pixels; Poor SEO on-page; Not mobile-friendly; Low reviews,Under 50 reviews signals low online trust.,https://maps.google.com/?q=Alamo+Grill+#47+San+Antonio+TX
Texas Justice Firm,,(726) 426-7625,,https://www.texasjusticefirm.com,San Antonio,TX,78216,50,Low rating; No tracking pixels; Poor SEO on-page; Slow website,Rating 3.9 below 4.2 — reputation management needed.,https://maps.google.com/?q=Texas+Justice+Firm+San+Antonio+TX
Mission Auto Repair,,(210) 914-4912,,https://www.missionautorepair.com,San Antonio,TX,78229,50,Low rating; No tracking pixels; Poor SEO on-page; Not mobile-friendly,Rating 3.1 below 4.2 — reputation management needed.,https://maps.google.com/?q=Mission+Auto+Repair+San+Antonio+TX
Bexar Motors,,(210) 590-6881,,https://www.bexarmotors.com,San Antonio,TX,78218,50,Low rating; No tracking pixels; Poor SEO on-page; Not mobile-friendly,Rating 3.6 below 4.2 — reputation management needed.,https://maps.google.com/?q=Bexar+Motors+San+Antonio+TX
San Antonio Pipe Pros #18,,(726) 714-9701,,https://www.sanantoniopipepros18.com,San Antonio,TX,78212,45,No ads detected; High competition niche; No website,San Antonio Pipe Pros #18 has no website — losing leads daily to competitors. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=San+Antonio+Pipe+Pros+#18+San+Antonio+TX
Alamo Construction,,(210) 392-9494,,https://www.alamoconstruction.com,San Antonio,TX,78228,45,No ads detected; High competition niche; Low reviews,Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Alamo+Construction+San+Antonio+TX
SA BBQ Pit,,(726) 830-7686,,https://www.sabbqpit.com,San Antonio,TX,78217,45,No ads detected; Outdated/Missing web presence; Low reviews; No website,SA BBQ Pit has no website — losing leads daily to competitors. | Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=SA+BBQ+Pit+San+Antonio+TX
Lopez Law Office #81,,(830) 456-3858,,https://www.lopezlawoffice81.com,San Antonio,TX,78207,45,No ads detected; High competition niche; Low reviews,Under 50 reviews signals low online trust. | No paid ad presence — competitors capture all paid traffic.,https://maps.google.com/?q=Lopez+Law+Office+#81+San+Antonio+TX
San Antonio Legal Partners,,(830) 618-6344,,https://www.sanantoniolegalpartn.com,San Antonio,TX,78229,40,No tracking pixels; Poor SEO on-page; Slow website,Identified as digital marketing opportunity in San Antonio.,https://maps.google.com/?q=San+Antonio+Legal+Partners+San+Antonio+TX
Lone Star Roofing,,(830) 804-6439,,https://www.lonestarroofing.com,San Antonio,TX,78207,40,No tracking pixels; Poor SEO on-page; Slow website,Identified as digital marketing opportunity in San Antonio.,https://maps.google.com/?q=Lone+Star+Roofing+San+Antonio+TX
Fiesta Taco House #74,,(830) 546-2886,,https://www.fiestatacohouse74.com,San Antonio,TX,78232,40,No tracking pixels; Poor SEO on-page; Not mobile-friendly,Identified as digital marketing opportunity in San Antonio.,https://maps.google.com/?q=Fiesta+Taco+House+#74+San+Antonio+TX
